channel,sender,timestamp,views,text,media_type,media,image_text,combined_text
t.me/ZemenExpress,-1001307493052,2025-06-21 16:35:51+00:00,1987,,image,<_io.BytesIO object at 0x00000240F4CD2AC0>,588 ርከ፲ 1888 ፳ቨ፪ 8089 ጋጋሪ, 588 ርከ፲ 1888 ፳ቨ፪ 8089 ጋጋሪ
t.me/ZemenExpress,-1001307493052,2025-06-21 16:35:51+00:00,1971,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Saachi Electric Kettle Borosilicate Glass Body Overheat protection Automatic switch off 2200 ዋጋ፦ 2700 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,image,<_io.BytesIO object at 0x00000240F3ED57B0>,ጻኋሺዷ ፦፦ ;,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Saachi Electric Kettle Borosilicate Glass Body Overheat protection Automatic switch off 2200 ዋጋ፦ 2700 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ጻኋሺዷ ፦፦ ;
t.me/ZemenExpress,-1001307493052,2025-06-21 08:07:31+00:00,2503,,image,<_io.BytesIO object at 0x00000240F4C87150>,ራሪ, ራሪ
t.me/ZemenExpress,-1001307493052,2025-06-21 08:07:31+00:00,2517,,image,<_io.BytesIO object at 0x00000240F4C87A10>,. . ሸህ፡፦፦ የሺያ . . . ቲፒ, . . ሸህ፡፦፦ የሺያ . . . ቲፒ
t.me/ZemenExpress,-1001307493052,2025-06-21 08:07:31+00:00,2499,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pcs Bottle Stopper በማንኛውም ጠርሙስ ጫፍ የሚገጠም ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን በአግባቡ እየመጠንን ለመጠቀም ተመራጭ ዋጋ፦ ፍሬ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,image,<_io.BytesIO object at 0x00000240F4C874C0>,168 ; ፀዐየ ዐየ ; 022 ጋፇፖ ኃፀር ቶቶት,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pcs Bottle Stopper በማንኛውም ጠርሙስ ጫፍ የሚገጠም ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን በአግባቡ እየመጠንን ለመጠቀም ተመራጭ ዋጋ፦ ፍሬ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 168 ; ፀዐየ ዐየ ; 022 ጋፇፖ ኃፀር ቶቶት
t.me/ZemenExpress,-1001307493052,2025-06-21 08:07:11+00:00,2121,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pcs Bottle Stopper በማንኛውም ጠርሙስ ጫፍ የሚገጠም ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን በአግባቡ እየመጠንን ለመጠቀም ተመራጭ ዋጋ፦ ፍሬ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,document,<_io.BytesIO object at 0x00000240F4C87790>,,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pcs Bottle Stopper በማንኛውም ጠርሙስ ጫፍ የሚገጠም ለዘይት እና መሰል ነገሮች መቀነሻ የሚሆን በአግባቡ እየመጠንን ለመጠቀም ተመራጭ ዋጋ፦ ፍሬ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
t.me/ZemenExpress,-1001307493052,2025-06-21 05:42:46+00:00,2253,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pairs Sneaker Crease Protector ዋጋ፦ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,image,<_io.BytesIO object at 0x00000240F4C86C50>,"58065 886 . , . ሙም መጠ ዞል ; ፍአዩልዞዩክ ርክሂልፍዓዩ ዞክዐፐጄጀርፐዐክ 0902660 22 65",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pairs Sneaker Crease Protector ዋጋ፦ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 58065 886 . , . ሙም መጠ ዞል ; ፍአዩልዞዩክ ርክሂልፍዓዩ ዞክዐፐጄጀርፐዐክ 0902660 22 65"
t.me/ZemenExpress,-1001307493052,2025-06-21 05:42:19+00:00,2424,,image,<_io.BytesIO object at 0x00000240F4C87BA0>,"457 . የየከጅ ሆዐቭፀ ሠ፡ዞዐ ; ፥ ,"," 457 . የየከጅ ሆዐቭፀ ሠ፡ዞዐ ; ፥ ,"
t.me/ZemenExpress,-1001307493052,2025-06-21 05:42:19+00:00,2420,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pairs Sneaker Crease Protector ዋጋ፦ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,image,<_io.BytesIO object at 0x00000240F4C87600>,". ኢሙ ኢር ከበው በመ . , . 5181 11 . . . . ህልቨበኘ ኮዞ ዕፐርዝርዐክ",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . pairs Sneaker Crease Protector ዋጋ፦ 400 ብር ውስን ፍሬ ነው ያለው አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ኢሙ ኢር ከበው በመ . , . 5181 11 . . . . ህልቨበኘ ኮዞ ዕፐርዝርዐክ"
t.me/ZemenExpress,-1001307493052,2025-06-18 06:01:10+00:00,3968,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Imitation Volcano Humidifier with LED Light በኤሌክትሪክየሚሰራ ለቤት መልካም መዓዛን የሚሰጥ ዋጋ፦ 1400 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,document,<_io.BytesIO object at 0x00000240F4CD3650>,,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Imitation Volcano Humidifier with LED Light በኤሌክትሪክየሚሰራ ለቤት መልካም መዓዛን የሚሰጥ ዋጋ፦ 1400 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
t.me/ZemenExpress,-1001307493052,2025-06-16 12:21:00+00:00,4699,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Baby Carrier በፈለጉት አቅጣጫ ልጅዎን በምቾት ማዘል ያስችልዎታል ዋጋ፦ 2400 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,document,<_io.BytesIO object at 0x00000240F4C87830>,,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Baby Carrier በፈለጉት አቅጣጫ ልጅዎን በምቾት ማዘል ያስችልዎታል ዋጋ፦ 2400 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,4148,,image,<_io.BytesIO object at 0x00000240F4C87010>,"ሃፍከር ከገዐሀክ ከህክ 1101 ር 816 ፕዐሀየ ከሕኋህሃፎ ርዐክገ ሁቋከ ዞሀቨክ ከፀ ሀፀዐዚ ፎፅ ሂከፀ ፍከር 1659 ሁርፎ ዐቨ ሂከፀ ርቋ , ፊሀሠርህ ; በቲፎይ , ኋፎ ከቲዕ ሂከፀ ቋዥ አፒከዕሀርዐበበፎበኔ ; በፎ በቲዕ ኣቲፎ , , ዕዞፍ መጻ , , ፐጂጪ . . . ያያ ጨፍ 258 ቻሪ"," ሃፍከር ከገዐሀክ ከህክ 1101 ር 816 ፕዐሀየ ከሕኋህሃፎ ርዐክገ ሁቋከ ዞሀቨክ ከፀ ሀፀዐዚ ፎፅ ሂከፀ ፍከር 1659 ሁርፎ ዐቨ ሂከፀ ርቋ , ፊሀሠርህ ; በቲፎይ , ኋፎ ከቲዕ ሂከፀ ቋዥ አፒከዕሀርዐበበፎበኔ ; በፎ በቲዕ ኣቲፎ , , ዕዞፍ መጻ , , ፐጂጪ . . . ያያ ጨፍ 258 ቻሪ"
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,5005,,image,<_io.BytesIO object at 0x00000240F4C87380>,". ፡፡ , ከረ . ሆር ሚሜ ር 20 ደጋና ሪያ ር . ድሙ ቁለ ሂል ፡፡ ፡፡ . ነያ 27 25 ; ፡፡፡ መጠወ . መመ ጮፎጻ ፥"," . ፡፡ , ከረ . ሆር ሚሜ ር 20 ደጋና ሪያ ር . ድሙ ቁለ ሂል ፡፡ ፡፡ . ነያ 27 25 ; ፡፡፡ መጠወ . መመ ጮፎጻ ፥"
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,4331,,image,<_io.BytesIO object at 0x00000240F4CD3600>,ጊት ያፍ ኢፒ ንር . ., ጊት ያፍ ኢፒ ንር . .
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,4458,,image,<_io.BytesIO object at 0x00000240F4CD3970>,. . . ቁኑዊ ዳሔኤሪዱሪ ኣረ ያረ . ይክኬኩ፡ . . . . . . . ሏዚክርክሊላክለላዚጀነ . መመ መሙ መመ, . . . ቁኑዊ ዳሔኤሪዱሪ ኣረ ያረ . ይክኬኩ፡ . . . . . . . ሏዚክርክሊላክለላዚጀነ . መመ መሙ መመ
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,4292,,image,<_io.BytesIO object at 0x00000240F4CD3A10>,"1111189 . 104 , 11112 . ሀዐዐበ ብጨህጩ ሃዑህሀ ደፎከ ፎበፎ 55"," 1111189 . 104 , 11112 . ሀዐዐበ ብጨህጩ ሃዑህሀ ደፎከ ፎበፎ 55"
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,3637,,image,<_io.BytesIO object at 0x00000240F4CD3A60>,. ጨጩመ . እስን ከኸ ካዊ, . ጨጩመ . እስን ከኸ ካዊ
t.me/ZemenExpress,-1001307493052,2025-06-16 05:11:57+00:00,3394,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Smart Usb Ultrasonic Car And Home Air Humidifier With Colorful Led Light Original Highquality በኤሌክትሪክ የሚሰራ ለቤትና ለመኪና መልካም መዓዛን የሚሰጥ Elevate the comfort level within your living premises with this fantastic Green Lion Air Mist Humidifier . ዋጋ፦ 1100 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,image,<_io.BytesIO object at 0x00000240F4CD3AB0>,,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Smart Usb Ultrasonic Car And Home Air Humidifier With Colorful Led Light Original Highquality በኤሌክትሪክ የሚሰራ ለቤትና ለመኪና መልካም መዓዛን የሚሰጥ Elevate the comfort level within your living premises with this fantastic Green Lion Air Mist Humidifier . ዋጋ፦ 1100 ብር ውስን ፍሬ ነው ያለን አድራሻ መገናኛመሰረትደፋርሞልሁለተኛፎቅ ቢሮ . S05S06 0902660722 0928460606 Telegram ለማዘዝ ይጠቀሙ @zemencallcenter @zemenexpressadmin ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን httpstelegram . mezemenexpress . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
